name,template,location
חוגים,DISCIPLINE,
השכרת כלים,ADMINISTRATIVE,
אולפן הקלטות,ADMINISTRATIVE,
מזרח העיר,DISCIPLINE,
חדר מחשבים,ADMINISTRATIVE,
תזמורות והרכבים לתלמידי המרכז - ילדים ונוער,ENSEMBLE,
מלגות,ADMINISTRATIVE,
אירועים,ADMINISTRATIVE,
חוגים - מקור חיים,DISCIPLINE,
חוגים - ממד הרובע,DISCIPLINE,
חוגים - בית הכרם,DISCIPLINE,
תזמורות הרכבים וקבוצות - בוגרים,ENSEMBLE,
השכרת כלים ופעילויות לתלמידי חוץ,ADMINISTRATIVE,
פרוייקטים פנימיים,ADMINISTRATIVE,
אולם מופעים,ADMINISTRATIVE,
"בית ספר ממ""ד ארנונה",EXTERNAL,
בית הספר חומת שמואל,EXTERNAL,
בית הספר אריאל גילה,EXTERNAL,
בית ספר גוואטמלה,EXTERNAL,
בית ספר ממד אפרתה,EXTERNAL,
בית ספר אהבת ישראל,EXTERNAL,
"תל""י מתמטי פ. זאב צפון",EXTERNAL,
בית ספר היובל,EXTERNAL,
